cseq,mapX,mapY,useyn
2210,127.3149823,37.7538975,y
2211,126.5253724,36.1628815,y
2212,126.5267737,36.1615659,y
2213,127.6918678,37.8930335,y
2214,127.6278216,37.9767025,y
2215,126.7049375,33.4516147,y
2216,127.7426862,37.747726,y
2217,127.6418609,37.9300828,y
2218,127.475429,36.7815397,y
2219,127.9259788,37.1252613,y
2220,128.0209169,36.9758362,y
2221,128.0418349,37.0272913,y
2222,127.2330595,36.434399,y
2223,128.2904588,35.0255898,y
2224,128.9407128,35.9316697,y
2225,126.2914386,36.5884564,y
2226,128.0845693,37.2623535,y
2227,126.8610264,36.392909,y
2228,126.8438241,36.4315905,y
2229,126.898002,36.3926819,y
2230,128.395463,36.0202574,y
2231,129.3853074,36.1356207,y
2232,128.4536264,37.8234056,y
2233,127.5110893,38.0590064,y
2234,128.8908908,35.2525643,y
2235,126.5953214,37.2154014,y
2236,126.6053106,36.605339,y
2237,128.9269001,36.6953994,y
2238,127.4824771,37.8272509,y
2239,127.9490077,37.2735112,y
2240,127.5870896,37.7223944,y
2241,127.2091689,37.2848078,y
2242,126.6010346,33.2985015,y
2243,126.9096231,37.777481,y
2244,129.252523,35.9690993,y
2245,126.8733281,36.7749553,y
2246,127.0999378,37.2276441,y
2247,126.9389785,37.7701966,y
2248,127.3662988,37.7510277,y
2249,127.251655,37.8689065,y
2250,128.850716,35.6364811,y
2251,127.4655195,36.2359817,y
2252,126.8335561,37.7498499,y
2253,128.0828277,36.0141064,y
2254,128.3414337,37.6401653,y
2255,129.0635012,35.4029645,y
2256,127.3694239,38.0474239,y
2257,126.379427,37.439587,y
2258,129.0556758,35.6267988,y
2259,127.372657,36.9612706,y
2260,126.1828507,36.8340495,y
2261,128.0398622,37.7132509,y
2262,127.7975464,37.7589083,y
2263,128.1985443,35.8536749,y
2264,128.5978163,37.6898155,y
2265,128.2489528,35.7635713,y
2266,127.5270861,37.958895,y
2267,127.8105836,37.3467235,y
2268,128.6096511,38.1463477,y
2269,127.599178,37.667018,y
2270,128.4218853,37.6642633,y
2271,128.3513942,37.2248413,y
2272,127.3821633,38.0678773,y
2273,127.7049984,37.069049,y
2274,127.379715,37.7154501,y
2275,127.5410009,37.7600198,y
2276,127.727693,37.6856375,y
2277,127.7851314,37.4902215,y
2278,127.3965337,38.1106217,y
2279,127.6536035,36.5441339,y
2280,126.7392536,37.6633637,y
2281,128.2341084,37.5900259,y
2282,128.1086979,37.1741582,y
2283,127.019957,36.557951,y
2284,126.2939119,36.9319939,y
2285,126.2021541,36.8862935,y
2286,126.1838497,36.7463585,y
2287,127.0938829,36.7315951,y
2288,129.2867345,35.5610025,y
2289,127.4186843,38.205315,y
2290,127.4460406,37.1950683,y
2291,127.3895979,38.0633889,y
2292,127.1201901,36.4227364,y
2293,129.2910967,35.967423,y
2294,129.3720386,35.7570518,y
2295,127.1079449,36.4649471,y
2296,129.1925235,36.9272959,y
2297,128.4236733,34.8166822,y
2298,128.4603341,34.8804243,y
2299,128.4114622,34.7858711,y
2300,127.6578864,37.9353909,y
2301,128.70934,34.8186157,y
2302,126.5149936,37.2568236,y
2303,126.8795419,36.7587076,y
2304,128.5486623,38.295909,y
2305,128.2430788,34.6191286,y
2306,126.8861541,36.7661474,y
2307,129.0093185,35.5235475,y
2308,127.274064,37.8750647,y
2309,127.3641366,38.020662,y
2310,126.9220592,37.7753163,y
2311,127.6022686,37.6948941,y
2312,127.2820284,38.0267957,y
2313,127.0648584,37.2738334,y
2314,128.5760873,36.0021191,y
2315,128.5637769,36.0517597,y
2316,128.1950568,38.1787065,y
2317,127.9237496,36.900002,y
2318,127.6953124,37.7018759,y
2319,127.4409542,34.6217505,y
2320,127.4179385,34.6355253,y
2321,127.5005916,37.3841692,y
2322,126.472629,33.2689132,y
2323,128.8588712,35.5462727,y
2324,128.1375076,36.8922136,y
2325,129.4101322,37.0219587,y
2326,128.3074941,37.6627056,y
2327,127.5254273,37.7468279,y
2328,126.8971743,35.3795806,y
2329,127.6889294,35.1381594,y
2330,127.9796003,37.2011666,y
2331,126.455215,37.2673248,y
2332,127.1950008,36.8476556,y
2333,128.6361185,35.7880124,y
2334,127.3683603,37.8917181,y
2335,128.9204862,35.3920526,y
2336,127.1163168,37.9508415,y
2337,128.1539157,37.3368741,y
2338,128.1789985,37.3125765,y
2339,127.1603669,37.7801599,y
2340,127.2656858,37.8323827,y
2341,127.220635,38.0771566,y
2342,127.2625592,38.1173648,y
2343,127.3170037,37.9025334,y
2344,128.1502068,35.8724014,y
2345,127.1451227,37.7647335,y
2346,127.2530487,38.1239264,y
2347,128.1711347,35.8693549,y
2348,129.3710469,36.2458924,y
